,open,high,low,close,volume,date_time,title
28,1372.0,1447.46,1372.0,1436.82,15344490,2016-10-03,SunTrust Continues To See Upside Potential In Netflix's Q3
29,1444.66,1462.16,1426.04,1432.76,12143104,2016-10-04,"IMAX In Talks With Streaming Services Such As Netflix To Release Their Movies, Business Insider Reports"
30,1449.0,1497.58,1448.0214,1487.92,12942880,2016-10-05,Mike Khouw Sees Unusual Options Activity In Netflix
31,1469.58,1476.58,1454.32,1470.98,6587738,2016-10-06,"Netflix Shares Up 1.7% Premarket, Recently Broke Above $372.50 Technical Level; Guggenheim Earlier Raised Price Target On Stock From $360 To $420"
32,1455.72,1491.0,1449.7014,1467.48,8659518,2016-10-07,"Guggenheim Raises Netflix Price Target From $360 To $420, Firm Says Investments Keep Netflix's Quality Content Creation Unique; Believes Upgrades To User Experience And Consumer Products Development Support Share Appreciation"
33,1444.52,1463.42,1438.64,1446.62,6699653,2016-10-10,10 Biggest Price Target Changes For Wednesday
34,1432.34,1440.6,1398.04,1408.26,9032854,2016-10-11,"Stock Market Appears To Focus On US-China Tariff News As US, Canada Continue Talks"
35,1412.32,1434.58,1389.08,1393.0,7426504,2016-10-12,Guggenheim: Netflix Subscriber Penetration Will Outpace Street Expectations
36,1372.14,1407.0,1366.82,1403.22,8319333,2016-10-13,How AMC Plans To Reanimate 'The Walking Dead' For 10 More Years
37,1422.26,1429.386,1404.9,1420.58,9531056,2016-10-14,"From Facebook To Netflix: The S&P's Big Sector Shakeup, Explained"
38,1407.0,1410.22,1377.32,1397.2,26589483,2016-10-17,"Benzinga's Bulls & Bears Of The Week: Amazon, Caterpillar, Costco, Netflix, More"
39,1632.82,1677.48,1631.0,1663.06,42168221,2016-10-18,Infographic: Millennials Give Moviegoing A Boost
40,1655.5,1714.3,1652.0,1706.18,21981734,2016-10-19,Having Some Ups And Downs: Market See-Saw Ride Seen Likely To Continue
41,1707.58,1732.5,1694.84,1726.9,14492827,2016-10-20,Nomura's Case For Adding Square To The FANG Trade
42,1715.0,1789.9,1712.34,1785.0,18832428,2016-10-21,Netflix Says Its On Track To Exceed Half Billion Dollar Investment In Netflix Canada
43,1783.88,1810.06,1766.1,1782.62,15980674,2016-10-24,"As Wall Street Awaits Main Earnings Season, Trade, Tesla Appear To Be In Focus"
44,1771.28,1792.84,1760.5,1771.14,8253941,2016-10-25,9 Streaming Services With The Best Original Content
45,1768.06,1802.08,1760.5,1777.58,8602407,2016-10-26,Hearing Netflix Is Developing A Slate Of Specials In Which Viewers Can Choose The Next Storyline In A TV Episode Or Movie; Shares Unaffected
46,1784.02,1794.52,1763.02,1770.58,6914182,2016-10-27,"Amazon Subsidiary, IMBD, Is Expected To Announce A Free, Ad-Supported Video Service For Amazon Fire TV Users This Week"
47,1765.12,1805.02,1764.1652,1771.98,7077252,2016-10-28,UPDATE: Amazon Has Reportedly Been In Discussions With At Least Three Major Media Companies To Bring Their Programming To The New Fire TV Service
48,1775.9,1776.6,1741.6,1748.18,6517512,2016-10-31,"HBO Ends 45-Year Run With Boxing, Says Sport No Longer A Subscription Driver"
49,1749.72,1761.62,1705.2,1726.2,6978621,2016-11-01,Netflix Who? 3 Media Stocks That Look Like They're Back In Favor
50,1719.62,1736.98,1705.62,1712.76,4816526,2016-11-02,Netflix To Develop Series And Films Based On 'Chronicles Of Narnia' Franchise
51,1712.34,1732.08,1705.76,1709.96,5041321,2016-11-03,How Growth And Value ETFs Look After The Debut Of Communication Services
52,1708.0,1728.02,1702.68,1708.42,5077719,2016-11-04,'Europe moves forward with content quotas for Netflix and Amazon' -Engadget
53,1739.64,1760.5,1727.18,1744.12,5827126,2016-11-07,Hudson Pacific Properties Leases Hollywood Office Tower to Netflix
54,1737.68,1761.34,1725.08,1740.76,4690756,2016-11-08,Todd Gordon's Bearish Netflix Options Trade
55,1705.76,1731.1,1692.0554,1710.66,7705673,2016-11-09,"Altria, CBS, IBM, Netflix: 'Fast Money' Picks For October 5"
56,1718.64,1721.58,1591.8,1615.88,19718703,2016-11-10,What's Next For FANG Stocks After Recent Weakness?
57,1608.6,1632.82,1583.54,1606.92,11080251,2016-11-11,3 Reasons To Buy Iqiyi – The 'Netflix Of China' – According To Jefferies
58,1606.5,1622.6,1549.52,1587.32,9932379,2016-11-14,Imperial Capital's Bullish Stance On Netflix Unchanged Ahead Of Q3 Print
59,1603.7,1629.74,1583.274,1590.26,7445094,2016-11-15,'Netflix chooses New Mexico for its new US video production hub' -San Francisco Chronicle Reports
60,1581.44,1625.68,1565.34,1612.66,5933728,2016-11-16,Walmart Is Looking To Enhance Vudu With Metro-Goldwyn-Mayer Deal
61,1611.82,1635.34,1589.84,1610.42,6232744,2016-11-17,"Investors Seem To Be Fretting About Rising Yields, Global Economic Growth"
62,1620.22,1629.88,1589.14,1612.94,6746783,2016-11-18,"Is Spotify The New Netflix? Yes And No, Says MKM Partners"
63,1626.8,1662.08,1626.66,1651.44,7064528,2016-11-21,On The Rate Watch: Yields Still Driving Action As Inflation Data Roll In
64,1656.48,1672.44,1637.72,1652.56,7007188,2016-11-22,"Dow Falls 1,300 Points In 48 Hours As Market Rout Continues"
65,1648.64,1664.46,1642.34,1647.66,4521314,2016-11-23,Dan Deming's Options Trade Ahead Of Netflix's Earning
66,1646.96,1657.46,1640.52,1643.74,1616260,2016-11-25,"After Wednesday Wash-Out, Comeback Might Be In Store As Rates Ease, Data Support"
67,1638.7,1646.68,1619.94,1637.02,5278861,2016-11-28,Netflix And Sugar23 Enter Multi-Year Film Deal
68,1642.2,1668.52,1639.8424,1645.14,7082264,2016-11-29,Citigroup Upgrades Netflix to Buy from Neutral
69,1666.0,1685.18,1629.4782,1638.0,7715103,2016-11-30,"Stifel Nicolaus Maintains Buy on Netflix, Lowers Price Target to $395"
70,1645.28,1661.52,1595.3,1641.08,8636943,2016-12-01,Citigroup Upgrades Netflix to Buy
71,1634.5,1693.72,1634.5,1691.34,8953590,2016-12-02,"Benzinga's Top Upgrades, Downgrades For October 12, 2018"
72,1690.22,1690.5,1657.6,1668.24,7626283,2016-12-05,10 Biggest Price Target Changes For Friday
73,1681.4,1747.06,1671.88,1743.98,11513209,2016-12-06,Citi's May Says Buy The Dip In Netflix
74,1742.72,1760.5,1725.5,1755.46,8204687,2016-12-07,"Shares of tech stocks moving higher as market rebounds from mid-week lows, strength could be related to rotation back into growth names; Netflix up 5.3%, NVIDIA up 5.8%, Salesforce Up 5.1%, PayPal Up 4.4%, Apple up 3.2%, VMWare up 3.0%."
75,1755.6,1768.9,1710.24,1725.36,8987712,2016-12-08,41 Stocks Moving In Friday's Mid-Day Session
76,1732.92,1740.2,1704.22,1720.32,4700783,2016-12-09,"Netflix Pops On Citi Upgrade, But Cycles Point The Other Way"
77,1719.76,1736.42,1712.2,1719.62,3917605,2016-12-12,"Midterms And The Stock Market: Potential Winners, Losers From The Coming Election"
78,1729.14,1751.26,1718.9326,1732.92,5564509,2016-12-13,"Barron's Picks And Pans: Apple, Dell, Netflix, Wells Fargo And More"
79,1728.02,1741.6,1715.0,1728.16,6110273,2016-12-14,"Bulls & Bears Of The Week: GE, Netflix, Nike, Twitter And More"
80,1728.16,1784.02,1721.3,1750.0,7376184,2016-12-15,Raymond James Lowers Netflix Price Target to $400 from $445
81,1769.46,1773.52,1736.14,1739.08,7867975,2016-12-16,44 Biggest Movers From Yesterday
82,1740.2,1770.16,1720.18,1756.3,4867276,2016-12-19,"Goldman Sachs Maintains Buy on Netflix, Lowers Price Target to $430"
83,1756.44,1768.2,1744.96,1751.68,3937812,2016-12-20,"As New Week Begins, Markets Still Seem To Be Playing ""D"" Amid Host of Earnings"
84,1757.42,1788.3208,1750.0,1771.0,6514793,2016-12-21,10 Biggest Price Target Changes For Monday
85,1775.76,1785.0,1752.52,1758.12,4161410,2016-12-22,FANG Weakness Drags New Communication Services ETFs
86,1758.54,1767.92,1751.12,1758.26,2010382,2016-12-23,Netflix shares are trading down 3.7% after analysts at Goldman Sachs and Raymond James lowered their price targets on the stock.
87,1767.36,1806.7,1759.8,1796.9,5288164,2016-12-27,Netflix Q3 Earnings Preview: A Subscriber Numbers Story
88,1806.98,1806.98,1760.64,1762.46,4389162,2016-12-28,"The Week Ahead: Q3 Earnings Season, Canada Decriminalizes Cannabis"
89,1763.3,1765.96,1738.8,1754.62,3445056,2016-12-29,"How Millennials, Baby Boomers Are Reacting To Market Volatility"
90,1767.36,1771.98,1730.4,1733.2,4455351,2016-12-30,Goldman Sachs And Morgan Stanley To Report Earnings Tomorrow Amid Wobbly Markets
91,1749.44,1794.66,1740.34,1784.86,9437856,2017-01-03,"Netflix Earnings Ahead, With Analysts Focused On Subscriber Numbers After Q2 Miss"
92,1784.86,1822.38,1771.7,1811.74,7843559,2017-01-04,"Benzinga Pro's Top 10 Most-Searched Tickers For Afternoon Of Mon., Oct. 15, 2018"
93,1809.08,1858.5,1804.6,1845.34,10185516,2017-01-05,"10 Hottest Stocks From October 15, 2018"
94,1849.12,1874.32,1817.34,1834.98,10657878,2017-01-06,Fintech Lender OnDeck Spins Out SaaS Company To Build Small Business Loan Products For Banks
95,1840.72,1847.86,1818.46,1833.3,5771835,2017-01-09,"Earnings Scheduled For October 16, 2018"
96,1837.78,1851.08,1810.06,1818.46,5985809,2017-01-10,"12 Stocks To Watch For October 16, 2018"
97,1832.74,1841.0,1809.465,1827.0,5615061,2017-01-11,Bank Earnings To The Rescue? Market Seeing Some Green After Strong Results
98,1828.82,1831.9,1799.0,1808.52,5388880,2017-01-12,Netflix Option Alert: Fri $365 Calls Sweep (4) near the Ask: 802 @ $5.29 vs 3796 OI; Earnings 10/16 After Close Ref=$338.4788
99,1836.1,1875.02,1828.12,1871.8,10515015,2017-01-13,"Benzinga Pro's Top 10 Most-Searched Tickers For Afternoon Of Tues., Oct. 16, 2018"
100,1890.56,1895.6,1849.26,1860.46,12220202,2017-01-17,Netflix Expected To Report Q3 Earnings After The Closing Bell; Co. Historically Issues Its Report Between 4:00 And 4:10 p.m. ET
101,1864.94,1871.1,1834.84,1865.64,16168617,2017-01-18,"Netflix Q3 EPS $0.89 Beats $0.68 Estimate, Adj. EBITDA $584.145M, Sales $3.999B Miss $4B Estimate"
102,1988.14,2008.44,1935.5,1937.74,23203441,2017-01-19,"Netflix Sees Q4 EPS $0.23 Does Not Compare To $0.51 Est., Sales $4.2B vs $4.23B Est."
103,1951.04,1971.06,1927.24,1940.4,9497394,2017-01-20,"Netflix Q3 Total Streaming Net Additions 6.96M, US Streaming Net Adds 1.09M, Int'l. Streaming Net Adds 5.87M"
104,1941.1,1952.86,1922.34,1923.46,7433896,2017-01-23,Netflix Sees Q4 Total Streaming Net Additions 9.4M
105,1933.54,1973.02,1918.42,1961.54,7754673,2017-01-24,"Netflix Shares Up 13.6% Following Mixed Q3 Earnings Report, Below-Expectation Q4 Guidance"
106,1971.2,1979.46,1946.7,1953.28,7612888,2017-01-25,Netflix Reaffirms FY18 Operating Margin Guidance At Lower End Of 10-11% Range
107,1966.3,1976.94,1939.14,1945.44,6038313,2017-01-26,Netflix Sees Q4 Operating Margin Falling From 7.5% In Q4'17 To 5%
108,1952.44,1994.86,1946.0,1994.3,8323866,2017-01-27,UPDATE: Netflix Highlights Expected Sequential Decline In Operating Margin Amid 'to the timing of content spend and a higher mix of original films in Q4'18'
109,1984.78,1987.538,1943.2,1977.08,8122481,2017-01-30,Netflix Soars After Big Q3 Earnings Beat
110,1967.7,1985.62,1955.8,1969.94,4411631,2017-01-31,iQIYI Shares Indicated Up 4% On ~222.5K Shares After Hours Following Favorable Reaction To Netflix's Mixed Q3 Earnings Report
111,1976.8,1993.74,1950.2,1970.92,6033422,2017-02-01,"Facebook Shares Up 0.8% After Hours Following Netflix Earnings, Subsequent Move Higher In NFLX; Amazon Up 1%, Apple Up 0.4%, Google Shares Unchanged"
112,1968.54,1974.56,1946.7,1948.8,3462370,2017-02-02,"10 Hottest Stocks From October 16, 2018"
113,1953.14,1968.96,1947.4,1963.5,3512568,2017-02-03,7 Stocks Moving In Tuesday's After-Hours Session
114,1960.0,1974.0,1948.24,1973.58,3552066,2017-02-06,Netflix shares are up 11.7% following Q3 earnings; The company beat EPS estimates but slightly missed on sales.
115,1980.86,2019.92,1974.7,2016.0,8573515,2017-02-07,YouTube Was Down For Many Users Tuesday Night
116,2009.98,2030.98,1995.84,2026.36,6887050,2017-02-08,"8 Stocks To Watch For October 17, 2018"
117,2029.72,2031.26,2010.12,2017.96,4555119,2017-02-09,KeyBanc Downgrades Netflix to Sector Weight
118,2025.52,2034.2,2015.58,2027.48,6171936,2017-02-10,A Peek Into The Markets: US Stock Futures Down Ahead Of Fed Minutes
119,2032.66,2043.3,2002.7,2004.8,4790435,2017-02-13,iQIYI shares are trading higher after Netflix reported stronger than expected third quarter earnings results. iQIYI runs a service similar to Netflix for the Chinese market.
120,2004.8,2017.54,1960.7,1971.48,8367786,2017-02-14,"Netflix shares are trading higher after the company reported EPS of $0.89 beating the $0.68 consensus estimate and revenue of $4.00B, inline with the consensus estimate. Netflix added 6.96M new streaming subscribers in the quarter."
121,1970.08,1994.02,1967.14,1991.78,5309050,2017-02-15,"Canaccord Genuity Maintains Buy on Netflix, Raises Price Target to $470"
122,1993.88,1994.16,1974.98,1988.14,2847496,2017-02-16,"BMO Capital Maintains Outperform on Netflix, Raises Price Target to $440"
123,1984.5,2000.6,1977.78,1991.08,4588073,2017-02-17,"Citigroup Maintains Buy on Netflix, Raises Price Target to $400"
124,2001.86,2007.32,1985.34,1996.4,3571481,2017-02-21,31 Stocks Moving In Wednesday's Pre-Market Session
125,2000.88,2016.0,1990.38,2014.04,3481968,2017-02-22,"Buckingham Maintains Underperform on Netflix, Raises Price Target to $349"
126,2022.3,2022.86,1981.28,1998.92,4667978,2017-02-23,"KeyBanc Downgrades Netflix, Cites A Need For Stronger Revenue Growth"
127,1986.32,2009.84,1981.7,2005.5,3302714,2017-02-24,"Raymond James Maintains Outperform on Netflix, Raises Price Target to $435"
128,2003.68,2014.88,1993.32,2007.74,3907377,2017-02-27,"Benzinga's Top Upgrades, Downgrades For October 17, 2018"
129,2006.2,2009.98,1985.9,1989.82,38622,2017-02-28,10 Biggest Price Target Changes For Wednesday
130,1999.76,2005.64,1989.4,1997.1,41706,2017-03-01,"After Basking In The Glow Of Netflix Results And Tuesday Rally, Pressure Seems Possible"
131,1990.1,1997.8,1947.26,1953.42,6119945,2017-03-02,Mid-Morning Market Update: Markets Open Lower; Abbott Laboratories Posts In-Line Q3 Earnings
132,1955.66,1972.74,1935.64,1947.96,5401104,2017-03-03,The Street Reacts To Netflix's Q3
133,1974.0,1999.76,1967.56,1987.16,7116118,2017-03-06,Mid-Day Market Update: Crude Oil Down 2.7%; vTv Therapeutics Shares Spike Higher
134,1987.86,1993.6,1965.32,1980.02,4241037,2017-03-07,36 Stocks Moving In Wednesday's Mid-Day Session
135,1980.58,1988.84,1956.78,1964.48,4092550,2017-03-08,"Benzinga Pro's Top 10 Most-Searched Tickers For Afternoon Of Wed., Oct. 17, 2018"
136,1960.56,1977.36,1956.36,1967.42,2652740,2017-03-09,"10 Hottest Stocks From October 17, 2018"
137,1979.46,1985.2,1963.92,1972.46,3318464,2017-03-10,46 Biggest Movers From Yesterday
138,1972.6,2011.94,1964.48,2009.28,4922432,2017-03-13,The 'Fab 5' Stocks — And Why They're So Important To The Rally
139,2001.3,2006.34,1983.8,2004.66,4660294,2017-03-14,Netflix Tells Employees To Brace For WSJ Investigation Of Company Culture
140,2018.8,2037.28,2005.22,2033.5,5987198,2017-03-15,S&P Downgrades Netflix From B+ to BB-; Outlook Lowered From Positive to Stable
141,2037.0,2051.0,2019.08,2021.46,5286456,2017-03-16,"Wedbush Adds Apple To Best Ideas List, Sees Opportunity In iPhone Upgrades Next Year"
142,2016.7,2040.64,2007.6,2031.54,6281316,2017-03-17,"Bulls & Bears Of The Week: Apple, Disney, Ford, Home Depot And More"
143,2036.3,2047.5,2024.12,2041.62,3421046,2017-03-20,Netflix Reports $2B Senior Notes Offering
144,2054.5,2067.8,1989.4,1993.88,7669753,2017-03-21,"Hearing Lead Underwriters For Netflix, Euro Tranches Bond Offering Said Offer Launched At 'Wider Than Price Talk'"
145,1995.56,2013.2,1970.64,1997.1,6486893,2017-03-22,"Netflix Prices €1.1B 4.625% Senior Notes Due 2029, $800M 6.375% Senior Notes Due 2029"
146,1989.96,2000.46,1977.64,1985.76,3712625,2017-03-23,Podcast: FAANG Stocks In The Spotlight As Earnings Season Trudges Along
147,1993.04,1999.2,1982.12,1988.28,3546599,2017-03-24,How To Use Pivot Points In Your Trading
148,1971.62,2021.46,1960.0,2016.84,4771650,2017-03-27,"Netflix, Roku Shares Appear Unaffected Following The Information Article 'Apple to Launch TV Subscription Service Globally'"
149,2017.4,2045.54,2014.88,2032.38,4638003,2017-03-28,Spotify's Recent Weakness Doesn't Change Morgan Stanley's Bullish Tune
150,2037.0,2060.52,2028.74,2050.58,3855031,2017-03-29,"Loup Ventures Finds Phoneless Experiment Freeing, Frustrating"
151,2055.34,2076.06,2051.42,2072.84,4461068,2017-03-30,"'At Netflix, Radical Transparency and Blunt Firings Unsettle the Ranks' -WSJ"
152,2072.0,2075.22,2062.62,2069.34,3888237,2017-03-31,"Amazon, Netflix, Apple Dominate Among Teens"
153,2053.8,2072.14,2040.36,2056.88,4609336,2017-04-03,"Stock Rally Looks Poised To Falter After Amazon, Alphabet Results Disappoint"
154,2055.76,2059.26,2028.46,2037.0,4368919,2017-04-04,"Bulls & Bears Of The Week: Caterpillar, eBay, Intel, Morgan Stanley And More"
155,2046.66,2047.5,2005.64,2010.68,4607636,2017-04-05,Snap Shares Up ~2% Mon. Morning; Weekend Article From Techcrunch: 'Should cash-strapped Snapchat sell out? To Netflix?'
156,2016.0,2017.96,2002.14,2012.36,3312410,2017-04-06,"The Latest Tech Wreck Sends Markets Lower; S&P 500, Nasdaq Close In Correction Territory"
157,2013.06,2014.46,1997.94,2003.54,3032571,2017-04-07,"Analysts Stay Bullish On iQiyi After Q3 Print, But Investors Unhappy With Lower Ad Revenue"
158,2002.56,2025.1,1976.94,2013.9,5807440,2017-04-10,Netflix to Screen 'Roma' Weeks Ahead of Streaming
159,2019.92,2023.56,1987.72,2020.9,4621451,2017-04-11,6 Music Stocks To Watch In 2019
160,2027.9,2040.36,2009.7,2013.62,4386954,2017-04-12,"Buckingham Upgrades Netflix to Buy, Raises Price Target to $406"
161,2019.5,2023.7,1998.64,2000.88,3685789,2017-04-13,"Benzinga's Top Upgrades, Downgrades For November 5, 2018"
162,2022.02,2062.48,2022.02,2061.5,16364743,2017-04-17,10 Biggest Price Target Changes For Monday
163,2062.76,2063.6,1960.0,2007.04,19670975,2017-04-18,From Bearish To Bullish: Buckingham Upgrades Netflix
164,2007.18,2016.0,1941.24,1956.64,12395064,2017-04-19,Here's What's At Stake For Your Investments In The 2018 Midterms
165,1964.2,1985.2,1949.78,1976.52,7248180,2017-04-20,Long Wait Is Over: Election Day Dawns With Markets Under Light Pressure
166,1979.46,2002.42,1972.6,2000.18,6824786,2017-04-21,"Tariffs, Drug Prices, Legislative Gridlock: What Economists Are Watching Following The Midterm Election"
167,2010.54,2023.0,2007.6,2013.62,4792928,2017-04-24,"Several Net-Neutrality-Sensitive Stocks Sharply Higher Wed. As US House Shifting Toward Democrats Could Be Positive For Net Neutrality Landscape: Amazon Shares Up 10%, Netflix Up 5.3%, Roku Up 5%"
168,2064.44,2149.28,2047.08,2130.24,20578697,2017-04-25,"Several Net-Neutrality-sensitive stocks sharply higher today as US House shifting toward Democrats could be positive for Net Neutrality landscape: Amazon Shares Up 10%, Netflix Up 5.3%, Roku Up 5%"
169,2121.42,2130.1,2084.6,2102.38,9196892,2017-04-26,Netflix Chief Content Officer Ted Sarandos  Says Plans to Introduce 17 New Original Productions from Asia
170,2108.4,2148.86,2090.2,2143.12,7643227,2017-04-27,'Disney's new Netflix rival will be called Disney Plus and launch late 2019' -CNBC
171,2137.94,2141.58,2113.16,2130.8,6311736,2017-04-28,Everything We Know About The Disney+ Streaming Service
172,2126.74,2207.8,2122.54,2174.9,8964849,2017-05-01,"The Street Weighs In On Disney's Q4 Earnings, ESPN And Streaming Among Highlights"
173,2180.64,2191.0,2164.54,2190.3,4983533,2017-05-02,"Netflix shares trading down 4.3% after competitor Disney provided additional details for their stand alone streaming service, Disney +, on their earnings call last night."
174,2188.06,2191.56,2168.32,2178.26,3864199,2017-05-03,Citron's Andrew Left Says Netflix Only Short Position Among FANG's
175,2178.26,2210.6,2163.7,2201.5,5345797,2017-05-04,"Day After Selloff, Earnings, Trade News Seem To Offer Lift"
176,2219.7,2220.26,2182.6,2192.4,5316045,2017-05-05,"The Legacy Of Stan Lee: Marvel Comics Mastermind, Box Office Gold"
177,2191.7,2206.96,2174.2,2189.32,4780919,2017-05-08,'Netflix is testing a mobile-only subscription to make its service more affordable' -TechCrunch
178,2185.4,2209.9,2183.58,2204.44,3886416,2017-05-09,"Moderate Inflation, Positive Retail Earnings Offer Lift In Back-And-Forth Market"
179,2209.48,2255.4,2191.84,2243.92,6834094,2017-05-10,"Citron's Andrew Left, On CNBC, Highlights He's Currently Short Netflix"
180,2244.62,2247.28,2205.7,2219.56,5534257,2017-05-11,Viacom's Paramount Says It Has Signed A Multi-Picture Film Deal With Netflix
181,2227.54,2251.76,2219.14,2251.34,5069936,2017-05-12,"Several tech and tech-related stocks moving lower despite no company-specific news; Move may be linked to reports Apple cut iPhone production orders, as well as sell off in the overall market."
182,2243.5,2264.92,2236.64,2240.28,4931529,2017-05-15,"Tech Shares, Retailer Earnings Roil Markets In Continuing Sell-Off"
183,2247.0,2256.52,2230.62,2231.74,3366344,2017-05-16,Report: Amazon Makes A Play For Disney's Regional Sports Networks
184,2213.26,2222.92,2142.0,2144.8,8042402,2017-05-17,A Perspective On The Recent Meltdown In FAANG Stocks
185,2150.54,2196.46,2145.36,2179.8,6249052,2017-05-18,"Netflix Form 4 Filing By CEO Reed Hastings Shows Exec. Exercised Options With Expiration Jan. 2, 2019 For ~78K Shares, Sold All Shares In Open Market; Hastings Has 0 Shares In Netflix; However Hastings' Trust Owns Options For ~5.56M Shares"
186,2186.1,2212.7,2182.74,2198.28,4050649,2017-05-19,Netflix To Unveil Slate Of Original Animated Content From Roald Dahl Story Universe
187,2210.04,2220.4,2190.02,2200.24,3720885,2017-05-22,YouTube Unit Of Alphabet Inc's Google Says Aims To Make All Future Original Programming Ad-Supported; Say Strategy Shift Follows Global User And Advertiser Demand
188,2208.5,2216.34,2195.2,2211.3,3333727,2017-05-23,Analyst: FANG Stocks Growth Fundamentals Remain Relatively Strong
189,2216.9,2218.72,2200.38,2208.5,2963515,2017-05-24,Powell Stepping Up To Stage With Weekend China Talks Waiting in Wings
190,2254.0,2297.4,2247.7,2282.7,8467678,2017-05-25,'Netflix to ramp up productions in Europe in 2019 -Financial Times
191,2279.76,2282.7,2255.68,2274.02,4804219,2017-05-26,Netflix shares are trading higher amid reports the company is planning to boost original content in Europe.
192,2290.4,2306.5,2277.94,2285.08,4791959,2017-05-30,"Tiger Woods, Discovery Strike Content Partnership"
193,2290.54,2296.0,2250.36,2282.98,5251201,2017-05-31,"Jim Cramer Gives His Opinion On Netflix, Kraft Heinz And More"
194,2289.28,2295.02,2263.8,2281.86,3869808,2017-06-01,"Netflix Chief Content Officer At Conference Says Will Look At Sports If It Becomes 'Next Best Place To Spend $10B', But Not Case Today"
195,2287.88,2315.04,2279.2,2312.52,4217679,2017-06-02,Netflix On Conference Call Says No More Chance Of Co. Getting Into China Than There Was Last Year
196,2316.86,2317.0,2288.02,2310.84,3830296,2017-06-05,Netflix Renews 'Friends' Rerun Deal
197,2309.3,2335.48,2303.14,2312.38,4325459,2017-06-06,Netflix To 'Friends' Fans: We'll Be There For You (For Another Year)
