,date_time,title
885249,2020-05-21 11:31:00-04:00,"Netflix shares are trading lower, potentially selling off following recent strength. The coronavirus pandemic has been a positive catalyst for streaming services and economic reopenings across the US may provide a potential headwind."
885250,2020-05-21 11:08:00-04:00,"Netflix: If Users Don't Confirm They Want To Keep Subscribing, Company Will Automatically Cancel Subscription"
885251,2020-05-21 11:05:00-04:00,"Netflix Shares Relatively Quiet, Hearing Co. To Ask Inactive Members To Either Confirm Their Membership Or Cancel"
885252,2020-05-20 12:48:00-04:00,Chop Chop: Strong Earnings Lift Markets After Tuesday Thud; FOMC Minutes Ahead
885253,2020-05-20 08:49:00-04:00,"'Philippines proposes tax on Netflix, Facebook ads, Lazada purchases amid coronavirus pandemic' -SCMB Report"
885254,2020-05-20 05:42:00-04:00,Why Sony Sold Streaming Rights For Tom Hanks Movie To Apple Instead Of Waiting Out The Pandemic
885255,2020-05-19 10:43:00-04:00,Stocks That Hit 52-Week Highs On Tuesday
885256,2020-05-19 10:08:00-04:00,"Walmart Earnings Look Strong Across the Board, But Home Depot Down After Missing on EPS"
885257,2020-05-19 08:15:00-04:00,"'Apple buys older shows for TV+, stepping up Netflix challenge' -Earlier SCMP Report"
885258,2020-05-19 06:29:00-04:00,Nasdaq To Restrict Chinese Listings With New Strict IPO Requirements: Report
885259,2020-05-18 14:32:00-04:00,"Shares of several 'stay-at-home' plays, including streaming, e-commerce, virtual communication, and home fitness, are trading lower on a potential sell-off as states begin to reopen, potentially making them lose momentum."
885260,2020-05-17 11:00:00-04:00,"Barron's Picks And Pans: Cisco, Gilead, Netflix, Wayfair And More"
885261,2020-05-17 10:16:00-04:00,"Benzinga's Bulls And Bears Of The Week: Boeing, SmileDirectClub, Tesla And More"
885262,2020-05-16 10:15:00-04:00,"Q1 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios"
885263,2020-05-16 09:45:00-04:00,Trader Shares Approach To The Volatile Markets: 'Define Your Risk'
885264,2020-05-15 14:43:00-04:00,"Hedge Fund Duquesne 13F Shows Increased Stakes In Facebook, Alibaba, Netflix, Amazon, Google, Alnylman"
885265,2020-05-15 14:35:00-04:00,"Quibi Blames Coronavirus For Lackluster Launch, But Is Its Strategy The Real Problem?"
885266,2020-05-15 10:22:00-04:00,Quick Retreat: Impressive Thursday Turnaround Halted in Its Tracks Amid Fresh Trade Tiff
885267,2020-05-15 06:35:00-04:00,"Mark Cuban On Consumer Demand, Small Businesses Dilemma And Market Uncertainty"
885268,2020-05-14 12:44:00-04:00,"3 Reason To Buy Netflix Stock Right Now, According To Jefferies"
885269,2020-05-14 10:35:00-04:00,Stocks That Hit 52-Week Highs On Thursday
885270,2020-05-14 10:26:00-04:00,"Jefferies Initiates Coverage On Netflix with Buy Rating, Announces Price Target of $520"
885271,2020-05-13 10:20:00-04:00,"Netflix Analyst Says Falling Churn, Strong Late April Subscriber Trends Boost Hopes"
885272,2020-05-12 16:11:00-04:00,"""Stay at Home"" Stocks Still Rule the Roost as Nvidia, Microsoft, Apple Start Week Firmly"
885273,2020-05-12 12:44:00-04:00,"ESPAÑOL • Acciones de Tilray Caen Luego de Reporte Trimestal, Harmless, Ketamina en Farmacias, Lo Nuevo de Netflix, y Más"
885274,2020-05-12 06:31:00-04:00,"With This NASDAQ-100 Soaring, Don't Forget This ETF"
885275,2020-05-11 10:35:00-04:00,Amazon Might Be Looking To Buy Struggling AMC Theaters: Report
885276,2020-05-10 16:15:00-04:00,"'Psyched': Compass Closes $80M Series B, Danish Scientists Discover Method For Producing Psilocybin From Yeast"
885277,2020-05-08 10:23:00-04:00,"Along With Dramatic Jobs Data, Investors Scrutinize Recent Earnings From Uber, Square"
885278,2020-05-06 17:15:00-04:00,"A Low-Cost, FAAMNG-Heavy ETF For May"
885279,2020-05-06 12:55:00-04:00,Netflix shares are trading higher. Strength potentially related to increased interest in streaming amid theater closures as a result of the coronavirus pandemic.
885280,2020-05-06 12:37:00-04:00,Netflix Shares Rebound Over $435 Level On Volume Spike; Hearing Jon Najarian Mentioned On CNBC's Fast Money: Halftime Report
885281,2020-05-06 10:56:00-04:00,Amazon Emerges As The Winner Of The COVID-19 Outbreak
885282,2020-05-05 17:55:00-04:00,"ESPAÑOL • Noticias del Día: Una Línea de Ropa de 'Narcos', Alice Moon y el SHC, Acciones de Cannabis, MindMed y el LSD, y Más"
885283,2020-05-05 08:18:00-04:00,3 ETFs For Disney Earnings
885284,2020-05-04 11:32:00-04:00,Netflix shares are trading higher despite overall market weakness. Strength potentially related to increased interest in streaming amid theater closures as a result of the coronavirus pandemic.
885285,2020-05-02 15:55:00-04:00,Here's What Warren Buffett Thinks About Tesla And Elon Musk
885286,2020-05-02 09:00:00-04:00,"Warren Buffett Says There's No Bubble In FANG Stocks, But He's Still Not Buying"
885287,2020-04-30 11:17:00-04:00,Netflix shares are trading higher despite overall market weakness. Strength potentially related to increased interest in streaming amid theater closures as a result of the coronavirus pandemic.
885288,2020-04-29 11:32:00-04:00,"Locked Down, Demand Up: Amazon Shines As Virus Economy Plays To Its Strengths"
885289,2020-04-29 09:24:00-04:00,"May Market Outlook: No Spring Fling This Year As Dismal Data, Weak Earnings Seen Ahead"
885290,2020-04-29 06:47:00-04:00,AT&T Is Hoping HBO Max Will Turn The Tide
885291,2020-04-29 05:19:00-04:00,Poland Plans to Introduce a 1.5% Surcharge on the Revenue of Video-on-demand Platforms Such as Netflix
885292,2020-04-29 00:07:00-04:00,"Netflix Working On 'Social Distance,' A New Show From The Maker Of 'Orange Is The New Black'"
885293,2020-04-28 16:51:00-04:00,Oscar Organizers To Allow Films Released On Streaming Platforms To Be Eligible For 2021 Academic Awards
885294,2020-04-28 11:48:00-04:00,Netflix shares are trading lower. Not yet currently seeing company-specific news.
885295,2020-04-28 11:13:00-04:00,Blue Chip Stocks Resisting COVID-19
885296,2020-04-28 05:44:00-04:00,"Coronavirus Crisis Could Lead to M&A in TV, Film Production"
885297,2020-04-27 05:26:00-04:00,"Filmmakers Using Virtual Reality Tools Created by Video Game Companies Including Epic, Nintendo to Use in Productions for Disney, Netflix"
885298,2020-04-26 18:05:00-04:00,"7 Best-Performing Stocks Of 2020: Buy, Sell Or Hold?"
885299,2020-04-25 15:32:00-04:00,"Barron's Picks And Pans: Albertsons, Carnival, Harley-Davidson And More"
885300,2020-04-25 15:20:00-04:00,"Bulls And Bears Of The Week: Amazon, Boeing, Disney, Netflix And More"
885301,2020-04-23 15:45:00-04:00,"Netflix Prices 3.625% Senior Notes Due 2025 Offering, €470M 3% Senior Notes Due 2025"
885302,2020-04-23 11:00:00-04:00,"SunTrust Robinson Humphrey Maintains Buy on Netflix, Raises Price Target to $475"
885303,2020-04-23 10:50:00-04:00,Why Netflix's Stock Is Trading Higher Today
885304,2020-04-23 10:30:00-04:00,"Morgan Stanley Maintains Overweight on Netflix, Raises Price Target to $485"
885305,2020-04-23 10:15:00-04:00,"Netflix Will Sell Dollar, Euro Junk Bonds At Record Low Yield"
885306,2020-04-23 09:55:00-04:00,Netflix shares are trading higher. The company on Tuesday reported Q1 results. Strength potentially related to increased interest in streaming services amid the coronavirus pandemic.
885307,2020-04-23 09:45:00-04:00,Eli Lilly Kicks Off Earnings Day With A Beat And Investors Prepare For Intel After Close
885308,2020-04-23 08:29:00-04:00,10 Biggest Price Target Changes For Thursday
885309,2020-04-23 06:20:00-04:00,"Imperial Capital Maintains Outperform on Netflix, Raises Price Target to $485"
885310,2020-04-22 14:28:00-04:00,COVID-19 Has Left Disney Extremely Vulnerable
885311,2020-04-22 14:04:00-04:00,Netflix Doubles Growth Estimates But Misses Earnings Expectations
885312,2020-04-22 13:42:00-04:00,'Imminent Dilemma'? Netflix's Strong Q1 Net Adds Leave Some On Wall Street Worried
885313,2020-04-22 13:34:00-04:00,"SunTrust Robinson Humphrey Maintains Buy on Netflix, Raises Price Target to $475"
885314,2020-04-22 13:01:00-04:00,PreMarket Prep Stock Of The Day: Facebook
885315,2020-04-22 12:08:00-04:00,"Nomura Maintains Neutral on Netflix, Raises Price Target to $390"
885316,2020-04-22 12:00:00-04:00,"JP Morgan Reiterates Overweight on Netflix, Raises Price Target to $535"
885317,2020-04-22 11:20:00-04:00,"Canaccord Genuity Maintains Buy on Netflix, Raises Price Target to $500"
885318,2020-04-22 11:10:00-04:00,"Wedbush Maintains Underperform on Netflix, Raises Price Target to $198"
885319,2020-04-22 09:50:00-04:00,"UBS Maintains Buy on Netflix, Raises Price Target to $535"
885320,2020-04-22 09:46:00-04:00,"Little Things Count: After Selloff To Start Week, A Bit of Light Arrives With Positive Earnings"
885321,2020-04-22 09:40:00-04:00,"Benzinga's Top Upgrades, Downgrades For April 22, 2020"
885322,2020-04-22 08:53:00-04:00,Netflix Reports $1B Senior Notes Offering
885323,2020-04-22 08:44:00-04:00,Netflix shares are trading lower despite the company reporting strong Q1 results. Analysts at multiple firms also downgraded the stock. NOTE: The company said it expects membership growth to decelerate as home confinement ends.
885324,2020-04-22 08:28:00-04:00,"Credit Suisse Maintains Outperform on Netflix, Raises Price Target to $465"
885325,2020-04-22 07:59:00-04:00,"RBC Capital Reiterates Outperform on Netflix, Raises Price Target to $500"
885326,2020-04-22 07:45:00-04:00,"Raymond James Downgrades Netflix to Outperform, Raises Price Target to $480"
885327,2020-04-22 07:35:00-04:00,"Benchmark Maintains Overweight on Netflix, Raises Price Target to $340"
885328,2020-04-22 06:29:00-04:00,"Stifel Downgrades Netflix to Hold, Announces $460 Price Target"
885329,2020-04-22 05:53:00-04:00,A Peek Into The Markets: US Stock Futures Gain Ahead Of Earnings
885330,2020-04-22 05:45:00-04:00,"Wells Fargo Upgrades Netflix to Equal-Weight, Announces $460 Price Target"
885331,2020-04-22 04:51:00-04:00,"8 Stocks To Watch For April 22, 2020"
885332,2020-04-22 01:45:00-04:00,"One Word To Describe Netflix's Q1 Results? 'Temporary,' Says Loup Ventures' Munster"
885333,2020-04-21 16:59:00-04:00,9 Stocks Moving In Tuesday's After-Hours Session
885334,2020-04-21 16:14:00-04:00,"Netflix Reports Q1 Sales Beat, Streaming Subscriptions Up 22.8%"
885335,2020-04-21 16:05:00-04:00,"Netflix Q1 Asia Pacific Paid Memberships 19.84M Users, Paid Net Adds 3.6M Users"
885336,2020-04-21 16:04:00-04:00,"Netflix Q1 Latin America Paid Members 19.84M, Paid Net Adds 3.6M"
885337,2020-04-21 16:04:00-04:00,"Netflix shares are trading higher after the company reported better-than-expected Q1 sales results. The company reported Q1 global streaming subs of 182.86 million, up 22.8% year over year."
885338,2020-04-21 16:04:00-04:00,Netflix Sees Q2 EPS $1.81 vs $1.54 Est.
885339,2020-04-21 16:04:00-04:00,"Netflix Q1 Europe, Middle East, Africa Paid Memberships 58.73M Users, Paid Net Adds 6.96M"
885340,2020-04-21 16:03:00-04:00,"Netflix Q1 US, Canada Paid Memberships 69.97M Users, Net Adds 2.31M"
885341,2020-04-21 16:03:00-04:00,Netflix Says Sees 2020 FCF Of ($1B) Or Better; Says Finished Quarter With Cash Of $5.2B
885342,2020-04-21 16:02:00-04:00,"Netflix Sees Q2 Global Streaming Paid Subscriptions 190.36M, Up 25.6% Year Over Year, Global Streaming Paid Net Adds 7.5M Users"
885343,2020-04-21 16:01:00-04:00,Netflix Q1 Global Streaming Paid Net Additions 15.77M Users
885344,2020-04-21 16:01:00-04:00,"Netflix Q1 EPS $1.570 Misses $1.650 Estimate, Sales $5.770B Beat $5.760B Estimate"
885345,2020-04-21 16:01:00-04:00,"Netflix Q1 Global Streaming Subs 182.86M, Up 22.8% Year Over Year"
885346,2020-04-21 15:35:00-04:00,"Why In-Game Revenue Is Key For Publishers Like Activision, Electronic Arts"
885347,2020-04-21 10:02:00-04:00,Tuesday's Market Minute: The Streaming Comeback Kid: Netflix
885348,2020-04-21 09:48:00-04:00,"CocaCola, IBM Earnings Under Scrutiny As Both Multinationals Withdraw Guidance, Netflix Later"
885349,2020-04-21 09:30:00-04:00,Mike Khouw Sees Unusual Options Activity In Netflix
885350,2020-04-21 08:52:00-04:00,3 ETFs For Netflix Earnings
885351,2020-04-21 07:36:00-04:00,Netflix And MK2 Announce A Partnership On A Wide Selection Of French And International Auteur Films
885352,2020-04-21 04:49:00-04:00,"Earnings Scheduled For April 21, 2020"
885353,2020-04-21 04:05:00-04:00,"8 Stocks To Watch For April 21, 2020"
885354,2020-04-20 22:36:00-04:00,Comcast's Fandango To Buy Walmart's Video-On-Demand Subsidiary Vudu
885355,2020-04-20 15:40:00-04:00,How The COVID-19 Pandemic Will Affect Netflix And Roku Going Forward
885356,2020-04-20 09:43:00-04:00,"Halliburton, United, Among Key Names Reporting Results, With More Airlines Due Later In Week"
885357,2020-04-20 08:47:00-04:00,"Netflix shares are trading higher, potentially in anticipation of the company's Q1 earnings report Tuesday. Streaming services have attracted investor interest amid the coronavirus pandemic, which has led to theater closures."
885358,2020-04-20 07:20:00-04:00,Netflix Analyst Braces For Big Q1 Beat As Pandemic Accelerates Migration To Streaming Services
885359,2020-04-17 15:38:00-04:00,"ESPAÑOL • Notas del Día: Jason Silva, Un Nobel en Cannabis, Jane West, 'Cooked With Cannabis' en Netflix, Mamá Cultiva, y MedMen"
885360,2020-04-17 09:46:00-04:00,"Big Earnings Day As Honeywell, Procter & Gamble, Schlumberger Among Those Reporting"
885361,2020-04-17 09:31:00-04:00,"Benzinga's Top Upgrades, Downgrades For April 17, 2020"
885362,2020-04-17 09:04:00-04:00,"Netflix Says Has Made Selection Of Documentary Features, Series Available On Netflix US YouTube Channel"
885363,2020-04-17 07:27:00-04:00,"Shares of several companies that have experienced strength amid the coronavirus pandemic are trading lower as coronavirus concerns ease following positive drug data from Gilead and US announcement of measures to reopen the economy. Some negatively impacted sectors include home fitness, home entertainment and virtual communication."
885364,2020-04-17 07:05:00-04:00,"Rosenblatt Reiterates Neutral on Netflix, Raises Price Target to $370"
885365,2020-04-17 06:41:00-04:00,"Benchmark Initiates Coverage On Netflix with Sell Rating, Announces Price Target to $327"
885366,2020-04-16 17:39:00-04:00,Traders Share Their Thoughts On Netflix
885367,2020-04-16 17:21:00-04:00,10 Stocks Hitting All-Time Highs Amid The COVID-19 Pandemic
885368,2020-04-16 13:51:00-04:00,Comcast's Peacock Takes Well-Timed Flight
885369,2020-04-16 11:48:00-04:00,"Alibaba, Tesla Among Cramer's Stay-At-Home Stock Ideas"
885370,2020-04-16 11:13:00-04:00,"Wedbush Maintains Underperform on Netflix, Raises Price Target to $194"
885371,2020-04-16 10:19:00-04:00,Stocks That Hit 52-Week Highs On Thursday
885372,2020-04-16 09:52:00-04:00,Netflix shares are trading higher after Goldman Sachs reiterated a Buy rating on the stock and raised its price target from $430 to $490. Morgan Stanley maintained an Overweight rating on the stock and raised its price target from $400 to $450.
885373,2020-04-16 09:30:00-04:00,"Netflix Earnings Preview: With Consumers On Lockdown, Streaming Giant Filling The Void"
885374,2020-04-16 08:29:00-04:00,"Goldman Sachs Reiterates Buy on Netflix, Raises Price Target to $490"
885375,2020-04-16 08:20:00-04:00,"Morgan Stanley Maintains Overweight on Netflix, Raises Price Target to $450"
885376,2020-04-16 07:14:00-04:00,"'GOLDMAN: Reiterates buy on $NFLX, ups price target to street-high $490, as ""we believe Netflix could add 10.3mn total net paid subscribers in 1Q' -Tweet From CNBC's Carl Quintanilla"
885377,2020-04-15 20:10:00-04:00,Software Rises Above Semiconductors And Hardware As Tech Heads Into Earnings Season
885378,2020-04-15 17:09:00-04:00,"How The COVID-19 Pandemic Turned Amazon, Netflix Into Essential Businesses"
885379,2020-04-15 13:51:00-04:00,"Pivotal Research Earlier Maintained Buy on Netflix, Raised Price Target to $490"
885380,2020-04-15 13:02:00-04:00,P/E Ratio Insights for Netflix
885381,2020-04-15 11:35:00-04:00,Netflix shares are trading higher after analysts at multiple firms raised their price targets on the stock. The coronavirus pandemic has been seen as a potential positive for streaming services and at-home entertainment platforms.
885382,2020-04-15 10:48:00-04:00,Stocks That Hit 52-Week Highs On Wednesday
885383,2020-04-15 10:19:00-04:00,"Stifel Maintains Buy on Netflix, Raises Price Target to $440"
885384,2020-04-15 09:39:00-04:00,Wednesday's Market Minute: Turns Out The Entire Nasdaq Is A Stay-At-Home Trade
885385,2020-04-15 08:52:00-04:00,"Cowen & Co. Reiterates Outperform on Netflix, Raises Price Target to $445"
885386,2020-04-14 16:45:00-04:00,'Tiger King'-Inspired Weed To Donate Proceeds To Tiger Protection Fund
885387,2020-04-14 13:22:00-04:00,Why Netflix's Stock Is Trading Higher Today
885388,2020-04-14 12:29:00-04:00,"Netflix shares are trading higher after Bank of America analysts raised their price target on the stock and maintained a Buy rating. Streaming stocks have been of interest recently amid the coronavirus pandemic, as consumers opt for home entertainment."
885389,2020-04-14 10:31:00-04:00,Stocks That Hit 52-Week Highs On Tuesday
885390,2020-04-14 10:30:00-04:00,"B of A Securities Maintains Buy on Netflix, Raises Price Target to $460"
885391,2020-04-14 09:56:00-04:00,"JPMorgan, Wells Fargo Earnings Lower Than Expected, But Positive Tone Helps Shares"
885392,2020-04-14 08:10:00-04:00,10 Biggest Price Target Changes For Tuesday
885393,2020-04-14 06:17:00-04:00,"Imperial Capital Maintains Outperform on Netflix, Raises Price Target to $447"
885394,2020-04-13 19:35:00-04:00,Disney's 50M Streaming Subscribers No Reason To Celebrate: Here's Why
885395,2020-04-13 14:36:00-04:00,"Netflix Strikes First-Look Deal With Comic Book, Graphic Novel Publisher Boom! Studios"
885396,2020-04-13 10:04:00-04:00,Netflix shares are trading higher despite overall market weakness. The company may potentially be benefiting from consumers opting for streaming and home entertainment platforms amid theater closures.
885397,2020-04-13 06:58:00-04:00,"Luckin Coffee Fraud Has Shaken Investor Faith In US-Listed Chinese Companies, Long-Term Backer Citron Says"
885398,2020-04-12 22:58:00-04:00,"Apple's Stock Will Outperform Other FAANG Stocks In 2020, Long-Term Future 'Among The Brightest', Munster Says"
885399,2020-04-12 09:25:00-04:00,"The Week In Cannabis: Charlotte Figi's Passing, Epidiolex's De-Scheduling, Stocks Up And More"
885400,2020-04-09 15:39:00-04:00,Communications Services Sector Earnings: When Staying In Becomes The Trend
885401,2020-04-09 12:04:00-04:00,Will FANG Lead The Market Rebound?
885402,2020-04-09 05:13:00-04:00,'I Am Trying To Get More Cash': Why Mark Cuban Isn't Hopeful On US Market Rally
885403,2020-04-08 23:24:00-04:00,Google Gets Federal Approval To Operate Under Sea Cable Between US and Taiwan To Boost Network Capacity
885404,2020-04-08 22:16:00-04:00,Disney Shares Climb 7% As Video On Demand Service Crosses 50M Subscribers
885405,2020-04-08 15:32:00-04:00,"Netflix, YouTube, Disney+: Which Video Streaming Platform Do Teens Watch The Most?"
885406,2020-04-08 11:41:00-04:00,One Theme Is Popping Up Among These Chinese Companies: Fraud
885407,2020-04-03 15:35:00-04:00,PS5 Vs. Xbox Series X: Tech Alone Won't Crown A Winner
885408,2020-04-03 12:45:00-04:00,Roland Garros Is Giving Us Hope – Shall We Dare to Dream?
885409,2020-04-02 07:42:00-04:00,Disney+ Makes Middle East Debut Through Third-Party Network
885410,2020-04-01 15:18:00-04:00,Is Roku Above Other Streamers – A SWOT Approach
885411,2020-04-01 11:34:00-04:00,"Wells Fargo Maintains Underweight on Netflix, Raises Price Target to $305"
885412,2020-04-01 10:30:00-04:00,"Bernstein Maintains Outperform on Netflix, Raises Price Target to $487"
885413,2020-04-01 09:52:00-04:00,Some Staples Stocks Bouncing Back After Sliding In Recent Rally As Caution Tightens Grip
885414,2020-03-31 14:19:00-04:00,Price Over Earnings Overview: Netflix
885415,2020-03-30 11:26:00-04:00,"Shares of several media, streaming and videogame companies are trading higher as markets continue to rebound following last week's US stimulus. NOTE: Trump extended social distancing guidelines, which is a potential positive for at-home entertainment."
885416,2020-03-30 10:28:00-04:00,"Amazon Analyst On Positives, Negatives Of Coronavirus Spending: 'A Material Impact'"
885417,2020-03-28 16:04:00-04:00,"Benzinga's Bulls And Bears Of The Week: Boeing, Netflix, Nike, Target And More"
885418,2020-03-27 15:33:00-04:00,Sony Slows PlayStation Download Speeds To Preserve Bandwidth
885419,2020-03-27 15:15:00-04:00,"For Some Companies, A Sliver Of Good News During COVID-19"
885420,2020-03-26 14:42:00-04:00,Roku Or Netflix – Which One Is Better In The Near Term?
885421,2020-03-26 10:35:00-04:00,Netflix Download Data Suggests 'Top And Bottom Line Outperformance' Due To Social Distancing
885422,2020-03-25 13:45:00-04:00,Netflix Says It Has Fixed An Outage That Affected Some Us And UK Users For Less Than An Hour
885423,2020-03-25 13:13:00-04:00,"'Netflix suffering from outage across the United States, users say' -9to5Mac"
885424,2020-03-25 10:12:00-04:00,Why This Netflix Analyst Says Streaming Platform Will Beat Q1 Net Subscriber Guidance
885425,2020-03-24 23:03:00-04:00,"Facebook, Messenger And WhatsApp Use Soars While Advertising Declines In Pandemic Hit Countries"
885426,2020-03-24 09:25:00-04:00,Shares of several communication services companies are trading higher as equities gain amid hopes of a US stimulus agreement.
885427,2020-03-23 13:30:00-04:00,Roku Vs. Netflix: Needham's Laura Martin Sees A Clear Quarantine Winner
885428,2020-03-23 11:53:00-04:00,"Baird Upgrades Netflix, Downgrades AT&T, Comcast As Pandemic Shifts Media Market"
885429,2020-03-23 11:17:00-04:00,"UPDATE: Baird Upgrades Netflix to Outperform, Raises Price Target to $415 As Firm Believes 'the lack of live sports, even if short-lived, coupled with growing consumer economic pressures, could accelerate video cord-cutting.'"
885430,2020-03-23 08:19:00-04:00,10 Biggest Price Target Changes For Monday
885431,2020-03-23 08:12:00-04:00,Netflix shares are trading higher after Baird analysts upgraded the stock from Neutral to Outperform.
885432,2020-03-23 06:10:00-04:00,"Baird Upgrades Netflix to Outperform, Raises Price Target to $415"
885433,2020-03-20 15:03:00-04:00,'Emergency Support for Workers in the Creative Community' -Netflix Blog Post
885434,2020-03-20 14:34:00-04:00,Disney Is In The Crosshairs Of COVID-19
885435,2020-03-20 09:16:00-04:00,"Netflix and Roku shares are trading higher trading higher. The coronavirus has led to many theaters closing or limiting capacity, which has potentially led consumers to opt for at-home streaming options."
885436,2020-03-20 07:04:00-04:00,Netflix Cuts Picture Quality To Ease Pressure On Internet Providers In Europe
885437,2020-03-19 13:56:00-04:00,PreMarket Prep Stock Of The Day: Walmart
885438,2020-03-19 13:46:00-04:00,Netflix Says Has Will Reduce Bit Rates Across All Its Streams In Europe For 30 Days
885439,2020-03-19 13:42:00-04:00,Netflix Says To Cut Traffic On European Networks By 25% To Preserve Smooth Functioning Of Internet During Coronavirus Outbreak
885440,2020-03-19 10:06:00-04:00,"Shares of several media and streaming companies are trading higher. The coronavirus has led to several theaters closing or limiting capacity, which has potentially led consumers to opt for streaming and home television viewing."
885441,2020-03-18 17:01:00-04:00,"Staples, Stay-At-Home Tech Stocks Holding Up, But Energy, Travel Washout Continues"
885442,2020-03-18 11:34:00-04:00,Netflix Vs COVID-19 – Does The Streaming Giant Have A Chance Of Winning?
885443,2020-03-18 09:53:00-04:00,"Travel, Airline Stocks In Focus Amid Fresh Weakness; Amazon To Hire 100,000 Workers"
885444,2020-03-18 06:15:00-04:00,Greta Thunberg Among Europe's 30 Under 30 Forbes List
885445,2020-03-17 14:58:00-04:00,Mark Tepper Says 'DAWN' Is The New 'FANG'
885446,2020-03-17 01:10:00-04:00,NBCUniversal Releases Movies On-Demand Same Time As Theaters Due To Coronavirus
885447,2020-03-16 11:41:00-04:00,5 Reasons Why Amazon Is Morgan Stanley's Top Pick
885448,2020-03-16 10:11:00-04:00,Coronavirus Downturn Prompts Bitcoiners To Take A Bet On Alternate Markets
885449,2020-03-16 08:52:00-04:00,Shares of several communications companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors.
885450,2020-03-15 09:45:00-04:00,"Bulls And Bears Of The Week: Apple, Boeing, FANGs And More"
885451,2020-03-13 10:40:00-04:00,Best Home Office Essentials During The COVID-19 (Coronavirus) Lockdown
885452,2020-03-13 09:53:00-04:00,Shares of several communication and media companies are trading higher as the market rebounds following Thursday's selloff. NOTE: Since the coronavirus outbreak the healthcare sector has been extremely volatile.
885453,2020-03-12 11:01:00-04:00,'Netflix's $3 mobile streaming plan just launched in two new countries' -BGR
885454,2020-03-12 09:20:00-04:00,Shares of several communications companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors.
